2021-09-30 12:52:56,ぅう!,ダラ復活おめでとう！,0.3,0.3
2021-09-30 12:52:57,こね,ドスプーギー,0.3,0.3
2021-09-30 12:52:57,499人いったら声出す,ドスランポス,0.3,0.3
2021-09-30 12:52:58,やくPSI,ナカゴボイス実装期待,0.8,0.8
2021-09-30 12:52:58,くん,まさみ,0.3,0.3
2021-09-30 12:52:58,暉_hikaru,待機！！,0,0
2021-09-30 12:52:58,海野大和,新モンスターだけでいいよ,0.6,0.6
2021-09-30 12:52:59,仮ノ一樹,マガイマガド特殊個体,0.8,0.8
2021-09-30 12:52:59,サイゼリアドンキー,yy,0.3,0.3
2021-09-30 12:52:59,T. M.,ヒプノック希少種はよ,0,0
2021-09-30 12:53:00,🍄大好き教【空白】,キリン亜種＾＾,0.3,0.3
2021-09-30 12:53:00,はるぽっくり,シャガルマガラ,0.3,0.3
2021-09-30 12:53:01,ma ko,さああああメインだああああ,0,0
2021-09-30 12:53:03,hato,ホロロ,0.3,0.3
2021-09-30 12:53:03,___mickey,きたきた,0,0
2021-09-30 12:53:03,なすす,みんなでドスランポス願おうーーーーーーーーーーーーーーーーーーーーーーーーーー,0.6,0.6
2021-09-30 12:53:03,jan darysh,ブラキディオス慣れると楽しいですよね:smiling_face_with_smiling_eyes:,0.9,0.9
2021-09-30 12:53:04,トマティンコ,きちー！,0.5,0.5
2021-09-30 12:53:04,葵束,一時停止マーク付いたアカウントのクエスト自動キック機能とか、ないっすかね？,-0.5,0.5
2021-09-30 12:53:04,てんてー,ジバニャン,0.3,0.3
2021-09-30 12:53:04,toeru,エルゼリオンこい！！,0.9,0.9
2021-09-30 12:53:04,はるぽっくり,お,0.2,0.2
2021-09-30 12:53:04,ふぇね,おー,0.3,0.3
2021-09-30 12:53:04,ゆくのび,やあ( *・ω・)ノ,0.6,0.6
2021-09-30 12:53:05,サイゼリアドンキー,yy,0.3,0.3
2021-09-30 12:53:05,Dead leaf,！,0.3,0.3
2021-09-30 12:53:05,アンブレラ社のラッキーゆびゆび,お,0.2,0.2
2021-09-30 12:53:05,ぴーマン！,グランミラオス,0.3,0.3
2021-09-30 12:53:06,よしこちゃん抹茶味,きちゃ,0.3,0.3
2021-09-30 12:53:06,歴戦フクズク生活,やあ,0.3,0.3
2021-09-30 12:53:06,クミケ,ドスジャギィ復活してほしい人,0,0
2021-09-30 12:53:06,サイゼリアドンキー,yy,0.3,0.3
2021-09-30 12:53:06,ああ,おい,-0.2,0.2
2021-09-30 12:53:07,monstoshi,やあ,0.3,0.3
2021-09-30 12:53:07,浅葱部長,お？,0,0
2021-09-30 12:53:07,さやあは,幼体がいる奴は成体追加して欲しいですね,-0.6,0.6
2021-09-30 12:53:08,Momita,お葬式会場はここですか,0.1,0.1
2021-09-30 12:53:08,サイゼリアドンキー,yy,0.3,0.3
